"Bat ID","Last 4 digits","Site","Sampling Date","Luminex Date","Species","Age","Sex","Repro Status","Weight (g)","Forearm (mm)","EBOV","MARV","logEBOV","logMARV","logEBOVrs","logMARVrs"
"A170",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","F","NRS",NA,NA,13.5,7,2.60268968544438,1.94591014905531,-0.071651553353348,-0.0189532839129961
"A171",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","M","NRS",NA,NA,14.5,12.25,2.67414864942653,2.50552593699074,-0.0593946361441637,0.0852545775790239
"A172",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","SA","F","NRS",NA,NA,16,7.5,2.77258872223978,2.01490302054226,-0.0425098150482464,-0.00610589870541751
"A173",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","SA","M","NRS",NA,NA,14.5,9,2.67414864942653,2.19722457733622,-0.0593946361441637,0.0278447866522771
"A174",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","M","NRS",NA,NA,15.75,11.5,2.75684036527164,2.4423470353692,-0.0452110339966123,0.073489830459069
"A175 A",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","F","NRS",NA,NA,28.5,8,3.3499040872746,2.07944154167984,0.0565135437929189,0.00591202755148053
"A176",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","M","NRS",NA,NA,21.5,6,3.06805293513362,1.79175946922805,0.00816934672383622,-0.0476581793763694
"A186",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,28.5,11.75,3.3499040872746,2.46385324059017,0.0565135437929189,0.0774945703238131
"A188",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","F","P",NA,NA,22.75,7.75,3.12456514539696,2.04769284336526,0.0178625390667713,0
"A189",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,20,7.25,2.99573227355399,1.98100146886658,-0.00423537218191787,-0.0124188160275278
"A192",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,16.25,11.5,2.78809290877575,2.4423470353692,-0.0398504771544791,0.073489830459069
"A195 A",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,14,9,2.63905732961526,2.19722457733622,-0.0654136347094832,0.0278447866522771
"A196",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,17.75,7.5,2.87638551592142,2.01490302054226,-0.0247061885213831,-0.00610589870541751
"A197",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,29.75,9,3.39282913199164,2.19722457733622,0.0638762130785901,0.0278447866522771
"B119",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","J","F","NRS",NA,NA,22.75,9,3.12456514539696,2.19722457733622,0.0178625390667713,0.0278447866522771
"D040",NA,"Accra Zoo",2012-01-31 00:00:00,"2017-10-03","E. helvum","A","M","NRS",NA,NA,21.5,10.75,3.06805293513362,2.37490575457367,0.00816934672383622,0.060931371960403
NA,"1037","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,14.75,9,2.69124308278583,2.19722457733622,0.0421221108945924,0.0440053025013802
NA,"3158","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,14.25,9.5,2.65675690671466,2.2512917986065,0.0352557766300572,0.0541897767134199
NA,"4146","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum",NA,"?","SIM",NA,NA,10,9.25,2.30258509299405,2.22462355152433,-0.0352612344489268,0.049166362002853
"A","6544","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,13,6.25,2.56494935746154,1.83258146374831,0.0169765299000399,-0.0246813860260289
NA,"6698","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","F","NRS",NA,NA,17,9,2.83321334405622,2.19722457733622,0.0703889522948726,0.0440053025013802
"A001","7739","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","F","NRS",NA,NA,14.25,7.5,2.65675690671466,2.01490302054226,0.0352557766300572,0.00966195823767558
"A055","7828","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,13,7.25,2.56494935746154,1.98100146886658,0.0169765299000399,0.00327602845106519
"A057","4829","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum",NA,"?","SIM",NA,NA,14.75,7,2.69124308278583,1.94591014905531,0.0421221108945924,-0.00333401425665573
"A058","5349","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,15.75,8,2.75684036527164,2.07944154167984,0.0551827896855148,0.0218188786187518
"A059","7628","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,12.5,4,2.52572864430826,1.38629436111989,0.00916753054771617,-0.108747098690716
"A060","3840","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","F","NRS",NA,NA,12.5,6.25,2.52572864430826,1.83258146374831,0.00916753054771617,-0.0246813860260289
"A061","9186","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum",NA,"?","SIM",NA,NA,14.25,7,2.65675690671466,1.94591014905531,0.0352557766300572,-0.00333401425665573
"A062","7615","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum",NA,"?","SIM",NA,NA,13.5,7.75,2.60268968544438,2.04769284336526,0.0244907787007372,0.0158384751200347
"A064","3282","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,14,5.75,2.63905732961526,1.74919985480926,0.0317317207169111,-0.0403877202160755
"A067","691","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,21,7.25,3.04452243772342,1.98100146886658,0.112461429894614,0.00327602845106519
"A068","3660","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,21.5,4.25,3.06805293513362,1.44691898293633,0.11714644513944,-0.0973274273446028
"A070","8509","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","F","NRS",NA,NA,12,7.5,2.484906649788,2.01490302054226,0.00103970973213352,0.00966195823767558
"A071","6256","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,19.5,7.5,2.9704144655697,2.01490302054226,0.0977062390777432,0.00966195823767558
"A072","6510","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","M","NRS",NA,NA,11.5,5,2.4423470353692,1.6094379124341,-0.00743407808841561,-0.0667142423583726
"A073","3913","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","P",NA,NA,18,9.75,2.89037175789616,2.27726728500976,0.0817694189098368,0.059082698250792
"A074","5961","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum",NA,"?","SIM",NA,NA,21.75,9.75,3.07961375753469,2.27726728500976,0.119448250674936,0.059082698250792
"A075","7193","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,33.25,7.75,3.50405476710186,2.04769284336526,0.203956137001638,0.0158384751200347
"A076","4509","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","A","F","NRS",NA,NA,20.5,7,3.02042488614436,1.94591014905531,0.107663511918518,-0.00333401425665573
"A077","5454","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,21,12.5,3.04452243772342,2.52572864430826,0.112461429894614,0.105884591283439
"A078","3428","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","M","NRS",NA,NA,20,10,2.99573227355399,2.30258509299405,0.102747114937876,0.0638517349510955
"A080","890","Accra Zoo",2012-02-14 00:00:00,"2017-08-03","E. helvum","JUV","F","NRS",NA,NA,20,6.5,2.99573227355399,1.87180217690159,0.102747114937876,-0.0172935023452562
